núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
1,2019,1,5,1,1,1,2,1,101,3,4,64,5,2018,5,6
2,2019,1,21,4,3,1,2,1,101,1,2,90,14,9999,99,1
3,2019,1,7,2,1,1,2,1,101,18,1,41,8,2019,5,1
4,2019,1,11,2,1,1,2,1,102,99,1,69,5,2007,4,1
5,2019,1,8,2,1,1,2,1,101,7,4,27,1,9999,99,6
6,2019,1,0,1,1,1,2,1,101,7,1,999,99,9999,99,1
7,2019,1,4,1,1,1,2,1,115,99,4,999,1,9999,99,6
8,2019,1,4,1,1,1,2,1,114,99,1,999,99,9999,99,1
9,2019,1,11,2,1,1,2,1,108,99,1,69,99,9999,99,1
10,2019,1,12,3,2,1,2,1,110,99,1,56,99,9999,99,1
11,2019,1,16,3,2,1,2,1,112,99,2,999,99,9999,99,3
12,2019,1,22,4,3,1,2,1,111,99,1,999,99,9999,99,1
13,2019,1,1,1,1,1,2,21,2101,99,4,77,5,9999,99,6
14,2019,1,4,1,1,1,2,20,2009,99,4,67,3,9999,99,6
15,2019,1,9,2,1,1,2,20,2009,99,4,67,2,9999,99,6
16,2019,1,11,2,1,1,2,19,1905,99,2,52,9,9999,99,1
17,2019,1,22,4,3,1,2,5,501,99,3,69,2,9999,99,1
18,2019,1,1,1,1,1,2,5,506,99,4,6,5,9999,99,1
19,2019,1,7,2,1,1,2,5,501,99,4,27,3,9999,99,6
20,2019,1,15,3,2,1,2,5,501,99,1,56,6,9999,99,3
21,2019,1,5,1,1,1,2,6,608,99,4,999,99,9999,99,6
22,2019,1,0,1,1,1,2,6,613,99,4,999,99,9999,99,6
23,2019,1,16,3,2,1,2,10,1018,99,3,69,9,9999,99,1
24,2019,1,8,2,1,1,2,9,910,99,4,18,1,9999,99,1
25,2019,1,21,4,3,1,2,9,923,99,1,999,99,9999,99,1
26,2019,1,8,2,1,1,2,9,910,99,4,999,6,9999,99,1
27,2019,1,14,3,2,1,2,12,1223,99,2,69,6,9999,99,1
28,2019,1,1,1,1,1,2,12,1227,99,12,30,6,1988,2,1
29,2019,1,3,1,1,1,2,12,1230,99,4,999,99,9999,99,6
30,2019,1,19,4,3,1,2,8,801,99,3,69,4,9999,99,1
31,2019,1,16,3,2,1,2,15,1502,99,4,76,3,2012,5,1
32,2019,1,4,1,1,1,2,18,1801,99,4,6,4,9999,99,4
33,2019,1,8,2,1,1,2,18,1801,99,1,69,2,2006,4,1
34,2019,1,11,2,1,1,2,17,1705,99,4,999,99,9999,99,6
35,2019,1,0,1,1,1,2,17,1708,99,1,999,99,9999,99,1
36,2019,1,18,4,3,1,2,17,1701,99,4,67,5,9999,99,1
37,2019,1,18,4,3,1,2,14,1406,99,4,2,99,9999,99,4
38,2019,1,21,4,3,1,2,7,701,99,1,999,99,9999,99,3
39,2019,1,7,2,1,1,2,4,409,99,4,76,5,9999,99,2
40,2019,1,5,1,1,1,2,4,409,99,4,999,3,9999,99,6
41,2019,1,0,1,1,1,2,3,301,99,4,999,5,9999,99,6
42,2019,2,6,2,1,1,3,1,108,99,1,121,7,2014,5,1
43,2019,2,19,4,3,1,3,22,2201,99,4,76,3,9999,99,1
44,2019,2,20,4,3,1,3,22,2210,99,4,999,5,9999,99,1
45,2019,2,16,3,2,1,3,21,2104,99,14,6,1,2003,4,1
46,2019,2,9,2,1,1,3,5,501,99,5,31,2,9999,99,1
47,2019,2,5,1,1,1,3,5,501,99,5,999,2,2017,5,1
48,2019,2,14,3,2,1,3,5,501,99,1,58,4,9999,99,1
49,2019,2,0,1,1,1,3,5,501,99,1,48,4,9999,99,2
50,2019,2,19,4,3,1,3,6,601,99,4,67,1,9999,99,1
51,2019,2,9,2,1,1,3,16,1605,99,5,999,2,2018,5,1
52,2019,2,18,4,3,1,3,15,1501,99,4,999,99,9999,99,1
53,2019,2,19,4,3,1,3,15,1501,99,4,999,99,9999,99,1
54,2019,2,21,4,3,1,3,1,110,99,1,69,99,9999,99,1
55,2019,3,8,2,1,1,4,1,101,9,4,39,1,9999,99,1
56,2019,3,21,4,3,1,4,1,115,99,3,69,5,1989,2,1
57,2019,3,15,3,2,1,4,22,2216,99,12,999,99,9999,99,3
58,2019,3,17,3,2,1,4,5,509,99,4,999,1,9999,99,1
59,2019,3,18,4,3,1,4,5,501,99,1,999,99,9999,99,1
60,2019,3,19,4,3,1,4,5,501,99,4,999,99,9999,99,6
61,2019,3,21,4,3,1,4,6,608,99,4,54,2,9999,99,6
62,2019,3,16,3,2,1,4,12,1202,99,3,69,11,9999,99,1
63,2019,3,23,4,3,1,4,18,1801,99,4,32,1,2018,5,1
64,2019,3,6,2,1,1,4,18,1804,99,22,2,5,2012,5,1
65,2019,3,7,2,1,1,4,17,1701,99,4,999,99,9999,99,6
66,2019,3,14,3,2,1,4,4,411,99,3,69,2,9999,99,3
67,2019,4,10,2,1,1,5,1,101,4,2,69,5,1996,3,1
68,2019,4,5,1,1,1,5,1,101,3,1,69,4,9999,99,1
69,2019,4,4,1,1,1,5,1,101,10,1,41,2,2017,5,1
70,2019,4,23,4,3,1,5,1,101,10,2,44,2,2005,4,1
71,2019,4,14,3,2,1,5,1,101,12,5,999,99,9999,99,1
72,2019,4,20,4,3,1,5,1,101,12,3,69,10,9999,99,1
73,2019,4,20,4,3,1,5,1,101,12,4,32,5,9999,99,1
74,2019,4,18,4,3,1,5,1,116,99,4,67,3,9999,99,1
75,2019,4,13,3,2,1,5,1,110,99,5,999,99,9999,99,1
76,2019,4,18,4,3,1,5,22,2202,99,2,27,3,9999,99,1
77,2019,4,10,2,1,1,5,20,2011,99,99,69,99,9999,99,3
78,2019,4,10,2,1,1,5,5,513,99,1,69,4,9999,99,1
79,2019,4,18,4,3,1,5,5,501,99,12,999,99,9999,99,1
80,2019,4,20,4,3,1,5,10,1012,99,4,999,99,9999,99,1
81,2019,4,5,1,1,1,5,11,1105,99,4,67,5,9999,99,6
82,2019,4,8,2,1,1,5,9,919,99,3,69,6,9999,99,2
83,2019,4,23,4,3,1,5,12,1201,99,12,30,3,2003,4,4
84,2019,4,16,3,2,1,5,16,1601,99,8,10,6,9999,99,1
85,2019,4,21,4,3,1,5,17,1706,99,12,69,2,9999,99,1
86,2019,4,0,1,1,1,5,3,312,99,1,56,99,9999,99,1
87,2019,5,7,2,1,1,6,1,101,1,1,73,5,2018,5,1
88,2019,5,2,1,1,1,6,1,101,5,1,28,2,2018,5,1
89,2019,5,11,2,1,1,6,1,101,5,1,27,2,2007,4,1
90,2019,5,13,3,2,1,6,1,101,13,1,69,4,2019,5,1
91,2019,5,8,2,1,1,6,1,114,99,1,41,6,9999,99,1
92,2019,5,16,3,2,1,6,1,115,99,1,999,2,9999,99,1
93,2019,5,15,3,2,1,6,1,108,99,4,999,5,9999,99,1
94,2019,5,21,4,3,1,6,1,108,99,1,4,3,9999,99,1
95,2019,5,5,1,1,1,6,5,509,99,4,27,1,9999,99,1
96,2019,5,23,4,3,1,6,6,601,99,3,69,2,2016,5,1
97,2019,5,20,4,3,1,6,10,1001,99,1,999,99,9999,99,1
98,2019,5,18,4,3,1,6,12,1210,99,4,18,5,9999,99,1
99,2019,5,18,4,3,1,6,18,1801,99,1,999,99,9999,99,1
100,2019,5,13,3,2,1,6,18,1801,99,4,6,5,9999,99,6
101,2019,5,21,4,3,1,6,17,1712,99,4,18,1,9999,99,1
102,2019,6,16,3,2,1,7,20,2001,99,1,48,99,9999,99,1
103,2019,6,11,2,1,1,7,1,101,5,4,38,6,9999,99,1
104,2019,6,11,2,1,1,7,18,1801,99,4,999,99,9999,99,4
105,2019,6,21,4,3,1,7,1,101,12,1,27,5,9999,99,1
106,2019,6,16,3,2,1,7,1,105,99,4,32,1,9999,99,4
107,2019,6,22,4,3,1,7,1,101,6,12,999,1,9999,99,1
108,2019,6,19,4,3,1,7,1,101,6,1,999,99,9999,99,2
109,2019,6,20,4,3,1,7,4,415,99,4,999,99,9999,99,2
110,2019,7,15,3,2,1,1,4,415,99,12,30,2,1994,3,1
111,2019,7,3,1,1,1,1,3,307,99,4,999,3,9999,99,2
112,2019,7,21,4,3,1,1,11,1101,99,3,48,11,9999,99,1
